policy_id,location_zone,roof_age,roof_material,home_age,construction_type,prior_water_claim,months_since_water,coverage_a,rcv_ratio,prior_claims_5yr,ins_lapses,swimming_pool,trampoline,home_business,fire_sprinklers,monitored_alarm,gated_community,wood_stove,recent_reno,pet_ownership,square_footage,building_code_comply,fire_hydrant_dist,iso_class,wildfire_score,wildfire_zone,canopy_pct,crime_idx,flood_zone,flood_depth_in,slope_deg,hail_zone,burn_history,foundation_type,ix_roof_wildfire,ix_water_canopy,ix_rcv_crime,ix_flood_foundation,ix_slope_burn,ix_roof_hail,score_t1,score_glm,final_risk_score,expected_loss,indicative_premium,decision
HO-2024035,WA-NW,25,asphalt,48,wood_frame,1,25,390633,0.95,0,0,none,0,none,none,0,0,0,0,0,1434,0,17.27,9,29.9,0,40.4,47.8,0,0.0,32.31,0,0,poured_concrete,0,0,0,0,0,0,45.12,49.88,50.55,3076.0,4730.0,Standard
HO-2024036,FL-Flood,0,asphalt,27,wood_frame,0,999,596967,0.861,2,0,none,0,none,none,0,0,0,0,0,1684,0,1.84,1,20.5,0,45.8,19.0,1,16.52,3.07,1,0,poured_concrete,0,0,0,0,0,0,32.18,40.67,40.11,2260.0,3480.0,Standard
HO-2024037,CA-Wildfire,39,metal,39,masonry,1,1,582523,1.11,0,1,none,1,active_business,partial,0,0,0,0,0,2894,0,9.47,5,60.1,1,56.4,15.7,0,0.0,24.39,0,0,poured_concrete,1,0,0,0,0,0,56.28,65.78,70.03,5469.0,9120.0,Rated
HO-2024038,AZ-Desert,31,asphalt,31,brick_veneer,0,999,247000,0.893,0,0,none,0,none,none,0,0,0,0,1,2716,0,9.2,5,31.7,0,48.3,18.8,0,0.0,1.69,0,0,block,0,0,0,0,0,0,40.12,43.1,42.35,2415.0,3720.0,Standard
HO-2024039,CO-Mixed,15,tile,24,brick_veneer,0,999,389940,1.238,0,1,above_ground,0,none,partial,0,1,0,0,0,3087,0,6.94,4,57.9,1,32.4,11.7,0,0.0,39.8,0,0,poured_concrete,0,0,0,0,0,0,35.01,38.75,39.51,2220.0,3420.0,Standard
HO-2024040,TX-Hail,0,tile,5,wood_frame,0,999,278860,1.201,1,0,none,0,none,none,0,1,0,0,0,1694,1,0.52,1,24.2,0,31.5,16.7,0,0.0,8.11,1,0,concrete_slab,0,0,0,0,0,0,25.69,27.66,28.23,1592.0,2340.0,Preferred
HO-2024041,IL-Midwest,20,tile,32,wood_frame,0,999,359725,0.985,1,1,in_ground,0,none,none,1,1,0,0,0,1611,0,4.36,3,10.4,0,21.2,73.4,0,0.0,6.02,1,0,poured_concrete,0,0,0,0,0,0,34.51,40.29,40.29,2272.0,3500.0,Standard
HO-2024042,CA-Wildfire,5,asphalt,18,wood_frame,0,999,612149,0.843,0,0,none,1,active_business,none,0,0,0,1,0,2129,1,11.74,6,85.0,1,57.5,50.2,1,1.44,37.03,0,1,concrete_slab,0,0,0,0,1,0,31.59,38.95,42.56,2430.0,3740.0,Standard
HO-2024043,GA-SE,22,metal,47,masonry,0,999,290174,0.91,2,0,none,0,active_business,partial,0,0,0,0,1,2241,0,7.45,4,19.8,0,71.5,63.0,0,0.0,6.42,0,0,poured_concrete,0,0,0,0,0,0,34.56,46.92,46.79,2754.0,4240.0,Standard
HO-2024044,FL-Flood,21,tile,39,wood_frame,0,999,213937,1.083,0,0,none,0,home_office,none,1,0,0,1,0,4345,0,2.07,2,19.3,0,11.8,17.3,0,0.0,0.91,0,0,concrete_slab,0,0,0,0,0,0,43.91,43.33,43.2,2476.0,3810.0,Standard
HO-2024045,AZ-Desert,9,slate,13,brick_veneer,0,999,223199,1.139,0,0,none,0,none,none,0,0,0,0,0,2697,1,8.66,5,31.5,0,21.3,33.7,0,0.0,7.56,0,0,poured_concrete,0,0,0,0,0,0,24.15,25.64,25.97,1489.0,2190.0,Preferred
HO-2024046,FL-Flood,28,asphalt,38,masonry,1,21,324634,1.015,0,0,none,0,none,none,0,0,0,0,0,2536,0,5.13,3,17.3,0,42.5,26.7,0,0.0,5.58,0,0,block,0,0,0,0,0,0,51.77,53.25,55.12,3521.0,5420.0,Standard
HO-2024047,IL-Midwest,25,tile,50,superior,0,999,904353,0.72,0,0,none,0,none,none,1,0,0,1,0,784,0,5.47,3,18.7,0,45.8,36.5,0,0.0,0.0,1,0,poured_concrete,0,0,0,0,0,1,38.24,37.25,39.36,2211.0,3400.0,Standard
HO-2024048,IL-Midwest,26,slate,33,superior,0,999,586195,1.115,0,2,in_ground,0,home_office,none,0,1,0,0,1,3724,0,6.15,4,7.0,0,17.4,46.7,0,0.0,12.4,0,1,concrete_slab,0,0,0,0,0,0,34.36,42.73,44.38,2564.0,3940.0,Standard
HO-2024049,TX-Hail,18,asphalt,18,masonry,0,999,120000,0.737,1,0,none,0,active_business,none,0,0,1,1,0,1580,1,6.87,4,15.0,0,12.2,43.5,0,0.0,7.18,0,0,concrete_slab,0,0,0,0,0,0,34.57,42.56,43.08,2468.0,3800.0,Standard
HO-2024050,MN-North,5,asphalt,9,wood_frame,1,33,374987,0.723,1,0,none,0,active_business,partial,1,0,0,0,0,1551,1,4.66,3,15.8,0,42.8,14.4,0,0.0,9.9,1,0,concrete_slab,0,0,0,0,0,0,24.62,28.57,29.3,1643.0,2420.0,Preferred
HO-2024051,WA-NW,26,tile,55,masonry,0,999,291945,1.16,1,0,above_ground,0,none,none,1,0,0,0,0,2203,0,6.94,4,41.1,0,68.7,11.2,0,0.0,42.5,0,0,stone_dirt,0,0,0,0,0,0,43.53,49.23,51.9,3202.0,4930.0,Standard
HO-2024052,MN-North,15,asphalt,35,masonry,1,16,518085,0.854,0,1,in_ground,0,home_office,none,1,1,0,0,0,1840,0,6.67,4,15.6,0,8.8,13.5,0,0.0,10.17,1,0,poured_concrete,0,0,0,0,0,0,36.07,39.43,40.05,2256.0,3470.0,Standard
HO-2024053,GA-SE,5,tile,22,brick_veneer,0,999,214939,1.055,0,0,none,0,home_office,full,0,0,1,0,0,2393,1,4.36,3,17.0,0,37.2,39.1,0,0.0,11.18,0,0,block,0,0,0,0,0,0,23.77,24.13,24.52,1426.0,2100.0,Preferred
HO-2024054,NY-NE,30,asphalt,42,wood_frame,0,999,234898,1.033,1,0,none,0,none,none,0,1,1,0,0,2976,0,2.61,2,11.4,0,8.7,30.5,0,0.0,12.91,0,0,poured_concrete,0,0,0,0,0,0,44.23,48.64,48.32,2880.0,4430.0,Standard
HO-2024055,MN-North,36,asphalt,40,brick_veneer,0,999,299991,0.907,1,0,in_ground,0,none,none,0,0,0,0,0,1230,0,4.08,3,0.1,0,40.3,28.9,0,0.0,10.53,0,0,poured_concrete,0,0,0,0,0,0,42.47,48.62,50.33,3057.0,4700.0,Standard
HO-2024056,CA-Wildfire,17,tile,40,wood_frame,0,999,283161,1.049,0,0,none,0,active_business,none,1,1,0,0,1,2760,0,13.21,7,76.3,1,43.6,18.2,0,0.0,27.19,0,1,poured_concrete,0,0,0,0,1,0,41.14,44.69,46.58,2736.0,4210.0,Standard
HO-2024057,TX-Hail,37,asphalt,62,wood_frame,0,999,471216,0.943,0,0,none,0,none,none,1,0,0,0,1,1517,0,1.13,1,23.9,0,6.9,28.5,0,0.0,4.08,0,0,block,0,0,0,0,0,0,54.59,53.6,55.41,3551.0,5460.0,Standard
HO-2024058,CA-Wildfire,18,metal,24,masonry,0,999,333162,1.027,1,0,none,0,none,none,1,0,0,1,1,2905,0,5.3,3,64.9,1,32.5,44.7,0,0.0,17.86,1,1,poured_concrete,0,0,0,0,0,0,34.88,38.38,39.55,2223.0,3420.0,Standard
HO-2024059,FL-Flood,14,slate,25,brick_veneer,0,999,520454,0.966,1,0,in_ground,0,none,none,0,0,0,0,0,3231,0,0.96,1,26.0,0,20.6,49.3,0,0.0,8.22,0,0,poured_concrete,0,0,0,0,0,0,35.9,41.35,41.48,2354.0,3620.0,Standard
HO-2024060,CO-Mixed,12,tile,13,masonry,0,999,266551,0.95,1,0,none,0,home_office,partial,0,0,0,0,1,3094,1,6.09,4,38.3,0,10.4,40.8,0,0.0,32.56,1,0,poured_concrete,0,0,0,0,0,0,28.78,34.37,36.86,2054.0,3160.0,Standard
HO-2024061,FL-Flood,32,slate,44,brick_veneer,0,999,501206,0.928,0,0,none,0,none,none,0,1,0,0,1,2476,0,4.19,3,33.3,0,8.1,39.8,0,0.0,1.94,0,0,block,0,0,0,0,0,0,48.48,49.06,50.18,3043.0,4680.0,Standard
HO-2024062,GA-SE,10,slate,23,brick_veneer,0,999,218013,0.894,0,0,none,0,home_office,none,0,1,0,0,1,4133,1,0.88,1,31.2,0,38.7,43.9,0,0.0,4.09,1,0,concrete_slab,0,0,0,0,0,0,25.43,25.57,26.37,1506.0,2220.0,Preferred
HO-2024063,FL-Flood,24,asphalt,29,superior,1,4,466065,1.139,0,0,none,1,none,full,1,0,0,0,0,1887,0,6.22,4,17.4,0,23.5,4.1,1,1.61,5.29,0,0,poured_concrete,0,0,0,0,0,0,49.94,50.25,50.93,3111.0,4790.0,Standard
HO-2024064,FL-Flood,12,slate,27,brick_veneer,0,999,310016,0.957,0,1,none,0,none,none,1,1,1,0,0,1729,0,1.08,1,13.8,0,27.9,19.1,1,12.04,19.4,0,0,concrete_slab,0,0,0,0,0,0,35.37,35.85,38.24,2139.0,3290.0,Standard
HO-2024065,IL-Midwest,13,asphalt,22,masonry,0,999,504828,0.862,1,0,above_ground,0,home_office,partial,0,1,0,0,0,2255,1,4.56,3,7.4,0,45.8,41.9,0,0.0,1.16,1,0,concrete_slab,0,0,0,0,0,0,28.32,33.57,33.44,1856.0,2860.0,Standard
HO-2024066,TX-Hail,27,asphalt,55,brick_veneer,0,999,120000,0.963,0,0,above_ground,0,home_office,none,0,0,0,0,0,1301,0,5.21,3,22.9,0,49.5,35.7,0,0.0,13.49,1,0,concrete_slab,0,0,0,0,0,1,47.55,52.33,51.75,3187.0,4900.0,Standard
HO-2024067,WA-NW,14,tile,40,brick_veneer,0,999,270344,0.946,0,0,none,0,none,none,0,0,0,0,0,1917,0,8.56,5,62.2,1,42.9,33.1,0,0.0,8.29,0,0,block,0,0,0,0,0,0,33.77,36.21,36.14,2010.0,3090.0,Standard
HO-2024068,CA-Wildfire,14,tile,24,superior,1,33,543565,0.965,1,0,none,0,home_office,none,0,0,0,0,0,1029,0,10.41,6,85.6,1,28.8,20.6,0,0.0,42.71,0,0,concrete_slab,0,0,0,0,0,0,36.66,44.83,45.52,2652.0,4080.0,Standard
HO-2024069,MN-North,28,asphalt,28,wood_frame,0,999,351741,1.12,0,1,none,0,home_office,none,0,0,0,0,0,1435,0,0.7,1,21.6,0,49.9,49.7,0,0.0,4.59,0,0,poured_concrete,0,0,0,0,0,0,36.99,41.34,41.74,2372.0,3650.0,Standard
HO-2024070,WA-NW,32,asphalt,46,wood_frame,0,999,141823,0.932,0,1,none,0,none,full,0,0,0,1,0,3608,0,16.16,9,66.7,1,82.7,17.1,0,0.0,25.18,0,0,stone_dirt,1,0,0,0,0,0,45.29,49.09,52.22,3232.0,4970.0,Standard
HO-2024071,TX-Hail,23,tile,38,wood_frame,1,8,281021,0.967,0,0,none,0,home_office,none,0,0,0,0,0,974,0,1.95,1,9.0,0,48.7,16.8,0,0.0,5.95,1,1,block,0,0,0,0,0,1,50.17,52.11,55.57,3569.0,5490.0,Standard
HO-2024072,CA-Wildfire,12,asphalt,21,masonry,0,999,433701,1.11,1,1,none,0,none,none,1,0,0,0,1,1788,1,12.96,7,86.4,1,59.5,40.2,0,0.0,16.94,0,0,concrete_slab,0,0,0,0,0,0,34.06,41.68,42.97,2459.0,3780.0,Standard
HO-2024073,WA-NW,13,slate,22,masonry,1,34,266472,1.082,0,0,none,0,none,full,0,1,1,0,1,1554,1,14.44,8,33.8,0,60.5,26.0,0,0.0,31.84,0,0,concrete_slab,0,1,0,0,0,0,30.59,31.3,32.78,1820.0,2800.0,Standard
HO-2024074,AZ-Desert,18,tile,20,wood_frame,0,999,542547,0.924,2,2,in_ground,0,none,full,1,1,1,0,1,2048,1,8.25,5,53.2,0,18.9,48.7,1,0.5,12.87,0,0,poured_concrete,0,0,0,0,0,0,31.53,42.66,44.07,2540.0,3910.0,Standard
HO-2024075,AZ-Desert,20,asphalt,30,wood_frame,1,17,531914,1.155,2,0,none,0,home_office,partial,0,0,1,1,0,1949,0,16.83,9,49.9,0,24.0,31.9,0,0.0,6.68,0,0,concrete_slab,0,0,0,0,0,0,42.61,55.5,55.56,3567.0,5490.0,Standard
HO-2024076,WA-NW,9,asphalt,19,brick_veneer,0,999,473480,1.147,0,0,none,0,home_office,none,0,0,0,0,0,2466,1,10.26,6,68.5,1,59.2,31.5,1,7.53,13.43,0,0,block,0,0,0,0,0,0,27.9,31.17,32.41,1801.0,2770.0,Standard
HO-2024077,CA-Wildfire,24,tile,39,superior,0,999,524317,1.137,1,0,none,0,none,none,1,1,0,0,0,1884,0,8.72,5,57.0,1,40.1,39.2,0,0.0,44.49,0,1,concrete_slab,1,0,0,0,1,0,41.91,45.18,50.49,3071.0,4720.0,Standard
HO-2024078,FL-Flood,18,asphalt,23,wood_frame,0,999,307874,1.062,1,2,in_ground,0,active_business,full,1,0,0,0,0,2530,1,5.47,3,20.0,0,40.1,41.9,1,0.5,6.18,0,0,poured_concrete,0,0,0,0,0,0,39.97,49.01,48.21,2871.0,4420.0,Standard
HO-2024079,CA-Wildfire,2,asphalt,31,brick_veneer,0,999,588197,0.996,1,1,none,0,none,partial,0,0,0,0,0,1347,0,9.39,5,84.0,1,32.8,15.7,0,0.0,20.3,0,1,poured_concrete,0,0,0,0,1,0,32.17,39.96,40.85,2310.0,3550.0,Standard
HO-2024080,GA-SE,9,asphalt,17,wood_frame,0,999,530588,0.87,1,1,none,0,none,full,1,1,0,1,0,2426,1,5.96,3,17.0,0,47.8,44.0,0,0.0,13.94,0,0,concrete_slab,0,0,0,0,0,0,26.24,27.33,27.1,1539.0,2260.0,Preferred
HO-2024081,NY-NE,13,asphalt,13,superior,0,999,361957,0.826,1,0,none,0,none,none,1,0,0,0,0,3013,1,6.87,4,17.0,0,16.8,54.3,0,0.0,0.11,0,0,poured_concrete,0,0,0,0,0,0,27.55,30.74,31.17,1736.0,2670.0,Standard
HO-2024082,FL-Flood,17,asphalt,44,brick_veneer,0,999,152296,1.008,1,0,above_ground,0,home_office,full,1,0,0,1,0,1306,0,3.93,2,9.2,0,49.6,22.9,0,0.0,0.0,0,0,poured_concrete,0,0,0,0,0,0,43.12,46.52,45.7,2666.0,4100.0,Standard
HO-2024083,CA-Wildfire,35,asphalt,40,brick_veneer,0,999,120000,1.022,0,0,none,0,none,full,1,0,0,1,1,2050,0,10.08,6,77.5,1,23.2,23.9,0,0.0,36.71,0,0,poured_concrete,1,0,0,0,0,0,49.8,48.16,52.9,3297.0,5070.0,Standard
HO-2024084,FL-Flood,20,slate,37,wood_frame,0,999,518553,0.983,0,0,none,0,none,none,1,1,1,0,0,2593,0,5.95,3,18.7,0,5.3,31.0,1,3.96,5.47,0,0,concrete_slab,0,0,0,0,0,0,42.09,41.43,41.75,2372.0,3650.0,Standard
HO-2024085,FL-Flood,10,tile,34,brick_veneer,0,999,154451,1.004,0,0,in_ground,0,home_office,none,1,1,0,0,1,3504,0,1.32,1,26.7,0,11.2,21.7,1,24.87,6.49,1,0,concrete_slab,0,0,0,0,0,0,36.79,36.82,36.62,2039.0,3140.0,Standard
HO-2024086,AZ-Desert,19,slate,31,wood_frame,0,999,251017,1.211,1,2,none,0,none,none,0,0,0,0,0,2786,0,15.63,8,36.4,0,8.5,30.3,0,0.0,10.08,0,0,poured_concrete,0,0,0,0,0,0,35.13,48.24,50.39,3062.0,4710.0,Standard
HO-2024087,NY-NE,14,asphalt,15,brick_veneer,1,8,446791,1.248,0,0,none,0,none,none,0,0,0,1,1,2370,1,4.74,3,7.6,0,32.1,51.5,0,0.0,12.69,0,0,poured_concrete,0,0,0,0,0,0,39.96,40.38,40.9,2314.0,3560.0,Standard
HO-2024088,GA-SE,20,asphalt,47,brick_veneer,0,999,198033,0.865,0,1,none,0,active_business,none,0,0,1,1,0,2137,0,3.46,2,28.0,0,58.9,39.1,0,0.0,10.54,0,0,block,0,0,0,0,0,0,37.03,43.55,45.3,2634.0,4050.0,Standard
HO-2024089,IL-Midwest,23,tile,41,brick_veneer,1,35,720806,1.06,0,1,none,0,none,none,1,1,0,0,0,2913,0,5.18,3,27.6,0,33.7,54.4,0,0.0,12.65,1,0,concrete_slab,0,0,0,0,0,1,39.81,40.76,43.31,2484.0,3820.0,Standard
HO-2024090,CA-Wildfire,28,tile,55,masonry,0,999,413242,1.027,1,0,none,0,home_office,none,1,0,0,0,0,849,0,11.59,6,67.6,1,28.0,19.1,0,0.0,30.25,0,1,block,1,0,0,0,1,0,47.96,54.45,60.38,4113.0,6860.0,Rated
