policy_id,location_zone,loc_off,roof_age,mat_r,home_age,cnst_r,prior_water_claim,months_since_water,rec_f,coverage_a,rcv_ratio,rcv_os,prior_claims_5yr,ins_lapses,pool_r,trampoline,biz_r,sprnk_v,monitored_alarm,gated_community,wood_stove,recent_reno,pet_ownership,building_code_comply,fire_hydrant_dist,iso_class,crime_idx,wildfire_score,wildfire_zone,canopy_pct,flood_zone,flood_depth_in,slope_deg,hail_zone,burn_history,fnd_r,ix_roof_wildfire,ix_water_canopy,ix_rcv_crime,ix_flood_foundation,ix_slope_burn,ix_roof_hail,eta_t1,eta_glm,delta_gam,eta_final,final_risk_score,expected_loss,decision
HO-2024010,CA-Wildfire,0.22,21,3,35,2,0,999,0,347899,1.223,1,2,1,1,0,0,0,0,0,0,0,0,0,10.55,6,25.3,71.5,1,53.3,0,0.0,4.71,0,0,1,1,0,0,0,0,0,9.659,10.4649,0.1966,10.6588,61.35,4233.0,Rated
HO-2024011,MN-North,-0.22,23,3,43,3,0,999,0,340480,0.96,0,0,1,0,1,1,-1,1,0,0,0,0,0,2.67,2,39.8,8.9,0,37.2,0,0.0,3.9,0,0,2,0,0,0,0,0,0,9.3193,9.5812,0.0204,9.5779,42.29,2411.0,Standard
HO-2024012,GA-SE,-0.18,16,1,35,2,0,999,0,498862,1.42,1,0,1,0,0,2,0,0,0,0,0,0,0,4.96,3,51.2,18.6,0,44.2,0,0.0,13.45,0,1,1,0,0,0,0,0,0,9.0276,9.4152,0.0334,9.4404,39.87,2244.0,Standard
HO-2024013,TX-Hail,0.13,22,0,31,3,1,33,1,250417,1.25,1,0,0,1,0,2,0,1,1,0,0,1,0,7.69,4,20.6,9.4,0,12.3,1,22.65,1.97,0,1,0,0,0,0,0,0,0,9.5985,9.7707,0.0368,9.9002,47.98,2851.0,Standard
HO-2024014,TX-Hail,0.13,14,3,24,3,0,999,0,484089,0.861,0,1,1,0,1,0,0,1,1,0,0,1,0,0.66,1,61.6,17.2,0,15.3,0,0.0,7.5,1,0,0,0,0,0,0,0,0,9.1965,9.6057,0.025,9.6918,44.3,2558.0,Standard
HO-2024015,TX-Hail,0.13,18,3,38,3,0,999,0,155251,1.195,1,0,1,0,0,1,0,0,0,1,0,0,0,6.86,4,39.2,21.9,0,36.5,0,0.0,5.71,0,0,0,0,0,0,0,0,0,9.5685,9.9494,0.0224,9.9425,48.72,2915.0,Standard
HO-2024016,FL-Flood,0.28,15,1,39,3,0,999,0,120000,1.002,0,0,1,1,0,1,-2,0,0,0,0,0,0,3.54,2,12.5,21.1,0,23.4,1,12.48,5.29,0,0,1,0,0,0,0,0,0,9.456,9.6504,0.0394,9.6751,44.0,2536.0,Standard
HO-2024017,IL-Midwest,-0.14,13,3,40,2,0,999,0,577501,1.099,0,1,0,2,0,1,0,1,0,0,1,0,0,0.6,1,62.9,2.7,0,13.2,0,0.0,5.29,1,0,2,0,0,0,0,0,0,9.0508,9.3428,0.0207,9.4196,39.5,2220.0,Standard
HO-2024018,CO-Mixed,0.07,11,3,39,3,1,2,3,236796,1.241,1,2,0,0,0,0,0,0,1,0,0,0,0,10.79,6,42.9,55.8,1,25.9,0,0.0,11.33,1,1,0,0,0,0,0,0,0,9.7973,10.3494,0.0337,10.4161,57.07,3730.0,Standard
HO-2024019,FL-Flood,0.28,22,1,23,2,0,999,0,394811,0.911,0,0,1,0,0,0,0,1,1,0,0,1,1,7.34,4,28.6,12.7,0,16.1,0,0.0,0.6,0,0,0,0,0,0,0,0,0,9.4064,9.4542,0.0091,9.4577,40.17,2264.0,Standard
HO-2024020,NY-NE,-0.03,29,3,50,2,1,27,1,342479,0.955,0,1,0,0,0,0,0,0,1,1,0,1,0,6.13,4,48.0,4.6,0,44.9,0,0.0,7.89,0,0,1,0,0,0,0,0,0,9.8652,10.203,0.0331,10.2483,54.11,3418.0,Standard
HO-2024021,TX-Hail,0.13,28,2,54,3,1,15,2,428184,1.125,0,1,0,0,0,2,0,0,0,0,1,0,0,2.46,2,17.7,11.9,0,22.5,0,0.0,14.57,1,0,0,0,0,0,0,0,1,10.1993,10.5847,0.1063,10.7366,62.73,4408.0,Rated
HO-2024022,FL-Flood,0.28,6,0,30,3,1,21,2,387195,0.969,0,0,1,1,1,0,-1,0,0,0,0,1,0,2.46,2,29.6,30.5,0,22.3,0,0.0,1.54,0,0,1,0,0,0,0,0,0,9.3644,9.7316,0.0122,9.8692,47.43,2806.0,Standard
HO-2024023,CO-Mixed,0.07,29,3,56,1,0,999,0,526021,0.72,0,1,0,0,0,2,-2,0,0,0,1,1,0,17.44,9,24.6,56.6,1,23.9,0,0.0,38.26,1,0,1,1,0,0,0,0,1,9.833,10.3372,0.302,10.6303,60.85,4170.0,Rated
HO-2024024,CO-Mixed,0.07,15,3,24,2,0,999,0,179912,1.155,1,0,0,0,0,0,-2,0,0,0,0,1,0,3.63,2,41.4,28.8,0,35.9,0,0.0,28.38,1,0,1,0,0,0,0,0,0,9.2138,9.1788,0.0489,9.2361,36.26,2018.0,Standard
HO-2024025,WA-NW,-0.07,23,3,51,1,0,999,0,473930,1.072,0,0,0,1,0,1,-2,0,0,0,0,0,0,15.52,8,54.6,64.0,1,73.0,0,0.0,28.98,0,0,1,1,0,0,0,0,0,9.4773,9.7242,0.2255,9.9886,49.53,2986.0,Standard
HO-2024026,TX-Hail,0.13,9,3,29,3,0,999,0,372817,1.017,0,0,0,1,0,0,-1,0,0,0,0,0,0,4.92,3,22.0,17.0,0,15.6,1,6.21,8.13,1,0,0,0,0,0,0,0,0,9.1243,9.1908,0.0398,9.2194,35.97,2000.0,Standard
HO-2024027,IL-Midwest,-0.14,19,1,30,1,0,999,0,165483,1.038,0,2,1,0,0,1,0,1,0,0,0,0,0,4.48,3,44.6,30.1,0,14.8,1,4.97,13.44,1,0,0,0,0,0,0,0,0,8.9467,9.5874,0.0471,9.5174,41.22,2336.0,Standard
HO-2024028,NY-NE,-0.03,20,3,30,3,0,999,0,305813,1.333,1,3,1,2,0,0,0,0,0,0,1,0,0,0.72,1,75.3,28.3,0,42.2,0,0.0,2.29,0,0,0,0,0,1,0,0,0,9.369,10.2895,0.1105,10.3965,56.73,3692.0,Standard
HO-2024029,CA-Wildfire,0.22,4,3,25,3,0,999,0,155455,1.162,1,0,0,1,0,1,0,1,0,1,1,0,0,4.02,3,38.4,83.6,1,44.3,0,0.0,30.34,0,0,0,0,0,0,0,0,0,9.1239,9.2282,0.0573,9.2182,35.95,1999.0,Standard
HO-2024030,NY-NE,-0.03,23,3,37,3,0,999,0,145748,0.899,0,3,1,0,1,1,0,0,0,1,0,0,0,2.84,2,36.3,13.4,0,19.7,0,0.0,9.46,0,0,0,0,0,0,0,0,0,9.4362,10.597,0.0304,10.6442,61.1,4201.0,Rated
HO-2024031,TX-Hail,0.13,30,3,55,3,0,999,0,318871,1.037,0,1,0,2,0,2,0,0,0,1,0,0,0,4.3,3,11.6,6.0,0,46.5,0,0.0,0.0,1,0,0,0,0,0,0,0,1,10.0037,10.6039,0.074,10.6032,60.37,4112.0,Rated
HO-2024032,CA-Wildfire,0.22,16,3,43,2,0,999,0,546087,1.186,1,0,0,0,1,1,0,0,0,0,0,0,0,16.97,9,14.5,90.1,1,33.0,0,0.0,28.03,0,1,0,0,0,0,0,1,0,9.6193,10.1154,0.1316,10.3517,55.94,3607.0,Standard
HO-2024033,MN-North,-0.22,30,2,33,3,0,999,0,423767,1.183,1,1,0,0,0,0,0,1,0,0,0,0,0,2.67,2,24.1,6.4,0,46.0,0,0.0,0.0,1,0,0,0,0,0,0,0,1,9.4323,9.595,0.074,9.5671,42.1,2397.0,Standard
HO-2024034,MN-North,-0.22,16,3,20,2,0,999,0,561912,0.81,0,0,0,1,0,2,0,1,0,0,0,0,1,7.79,4,43.4,21.4,0,39.7,1,17.9,3.17,1,0,0,0,0,0,0,0,0,8.8066,8.9782,0.0371,9.0124,32.32,1796.0,Standard
HO-2024035,WA-NW,-0.07,25,3,48,3,1,25,1,390633,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,17.27,9,47.8,29.9,0,40.4,0,0.0,32.31,0,0,0,0,0,0,0,0,0,9.7381,10.0084,0.0561,10.0461,50.55,3076.0,Standard
HO-2024036,FL-Flood,0.28,0,3,27,3,0,999,0,596967,0.861,0,2,0,0,0,0,0,0,0,0,0,0,0,1.84,1,19.0,20.5,0,45.8,1,16.52,3.07,1,0,0,0,0,0,0,0,0,9.0045,9.486,0.0363,9.4541,40.11,2260.0,Standard
HO-2024037,CA-Wildfire,0.22,39,0,39,1,1,1,3,582523,1.11,0,0,1,0,1,2,-1,0,0,0,0,0,0,9.47,5,15.7,60.1,1,56.4,0,0.0,24.39,0,0,0,1,0,0,0,0,0,10.371,10.9097,0.2415,11.151,70.03,5469.0,Rated
HO-2024038,AZ-Desert,-0.11,31,3,31,2,0,999,0,247000,0.893,0,0,0,0,0,0,0,0,0,0,0,1,0,9.2,5,18.8,31.7,0,48.3,0,0.0,1.69,0,0,1,0,0,0,0,0,0,9.4551,9.6235,0.023,9.5814,42.35,2415.0,Standard
HO-2024039,CO-Mixed,0.07,15,2,24,2,0,999,0,389940,1.238,1,0,1,2,0,0,-1,0,1,0,0,0,0,6.94,4,11.7,57.9,1,32.4,0,0.0,39.8,0,0,0,0,0,0,0,0,0,9.1653,9.3771,0.0605,9.42,39.51,2220.0,Standard
HO-2024040,TX-Hail,0.13,0,2,5,3,0,999,0,278860,1.201,1,1,0,0,0,0,0,0,1,0,0,0,1,0.52,1,16.7,24.2,0,31.5,0,0.0,8.11,1,0,0,0,0,0,0,0,0,8.6366,8.7481,0.0263,8.7809,28.23,1592.0,Preferred
HO-2024041,IL-Midwest,-0.14,20,2,32,3,0,999,0,359725,0.985,0,1,1,1,0,0,0,1,1,0,0,0,0,4.36,3,73.4,10.4,0,21.2,0,0.0,6.02,1,0,0,0,0,0,0,0,0,9.1367,9.4645,0.0232,9.4643,40.29,2272.0,Standard
HO-2024042,CA-Wildfire,0.22,5,3,18,3,0,999,0,612149,0.843,0,0,0,0,1,2,0,0,0,0,1,0,1,11.74,6,50.2,85.0,1,57.5,1,1.44,37.03,0,1,0,0,0,0,0,1,0,8.9712,9.3886,0.144,9.5929,42.56,2430.0,Standard
HO-2024043,GA-SE,-0.18,22,0,47,1,0,999,0,290174,0.91,0,2,0,0,0,2,-1,0,0,0,0,1,0,7.45,4,63.0,19.8,0,71.5,0,0.0,6.42,0,0,0,0,0,0,0,0,0,9.1394,9.8404,0.0252,9.8332,46.79,2754.0,Standard
HO-2024044,FL-Flood,0.28,21,2,39,3,0,999,0,213937,1.083,0,0,0,0,0,1,0,1,0,0,1,0,0,2.07,2,17.3,19.3,0,11.8,0,0.0,0.91,0,0,0,0,0,0,0,0,0,9.6695,9.6366,0.0104,9.6296,43.2,2476.0,Standard
HO-2024045,AZ-Desert,-0.11,9,1,13,2,0,999,0,223199,1.139,0,0,0,0,0,0,0,0,0,0,0,0,1,8.66,5,33.7,31.5,0,21.3,0,0.0,7.56,0,0,0,0,0,0,0,0,0,8.5495,8.6339,0.0258,8.6523,25.97,1489.0,Preferred
HO-2024046,FL-Flood,0.28,28,3,38,1,1,21,2,324634,1.015,0,0,0,0,0,0,0,0,0,0,0,0,0,5.13,3,26.7,17.3,0,42.5,0,0.0,5.58,0,0,1,0,0,0,0,0,0,10.1153,10.1993,0.0284,10.3053,55.12,3521.0,Standard
HO-2024047,IL-Midwest,-0.14,25,2,50,0,0,999,0,904353,0.72,0,0,0,0,0,0,0,1,0,0,1,0,0,5.47,3,36.5,18.7,0,45.8,0,0.0,0.0,1,0,0,0,0,0,0,0,1,9.348,9.2923,0.0694,9.4115,39.36,2211.0,Standard
HO-2024048,IL-Midwest,-0.14,26,1,33,0,0,999,0,586195,1.115,0,0,2,1,0,1,0,0,1,0,0,1,0,6.15,4,46.7,7.0,0,17.4,0,0.0,12.4,0,1,0,0,0,0,0,0,0,9.1281,9.6027,0.0366,9.6962,44.38,2564.0,Standard
HO-2024049,TX-Hail,0.13,18,3,18,1,0,999,0,120000,0.737,0,1,0,0,0,2,0,0,0,1,1,0,1,6.87,4,43.5,15.0,0,12.2,0,0.0,7.18,0,0,0,0,0,0,0,0,0,9.1403,9.593,0.0247,9.6228,43.08,2468.0,Standard
HO-2024050,MN-North,-0.22,5,3,9,3,1,33,1,374987,0.723,0,1,0,0,0,2,-1,1,0,0,0,0,1,4.66,3,14.4,15.8,0,42.8,0,0.0,9.9,1,0,0,0,0,0,0,0,0,8.576,8.8,0.0286,8.8413,29.3,1643.0,Preferred
HO-2024051,WA-NW,-0.07,26,2,55,1,0,999,0,291945,1.16,1,1,0,2,0,0,0,1,0,0,0,0,0,6.94,4,11.2,41.1,0,68.7,0,0.0,42.5,0,0,2,0,0,0,0,0,0,9.6479,9.9716,0.0654,10.1227,51.9,3202.0,Standard
HO-2024052,MN-North,-0.22,15,3,35,1,1,16,2,518085,0.854,0,0,1,1,0,1,0,1,1,0,0,0,0,6.67,4,13.5,15.6,0,8.8,0,0.0,10.17,1,0,0,0,0,0,0,0,0,9.2254,9.4154,0.029,9.4507,40.05,2256.0,Standard
HO-2024053,GA-SE,-0.18,5,2,22,2,0,999,0,214939,1.055,0,0,0,0,0,1,-2,0,0,1,0,0,1,4.36,3,39.1,17.0,0,37.2,0,0.0,11.18,0,0,1,0,0,0,0,0,0,8.528,8.548,0.0304,8.5704,24.52,1426.0,Preferred
HO-2024054,NY-NE,-0.03,30,3,42,3,0,999,0,234898,1.033,0,1,0,0,0,0,0,0,1,1,0,0,0,2.61,2,30.5,11.4,0,8.7,0,0.0,12.91,0,0,0,0,0,0,0,0,0,9.6876,9.9381,0.0415,9.9196,48.32,2880.0,Standard
HO-2024055,MN-North,-0.22,36,3,40,2,0,999,0,299991,0.907,0,1,0,1,0,0,0,0,0,0,0,0,0,4.08,3,28.9,0.1,0,40.3,0,0.0,10.53,0,0,0,0,0,0,0,0,0,9.5883,9.9367,0.0468,10.0337,50.33,3057.0,Standard
HO-2024056,CA-Wildfire,0.22,17,2,40,3,0,999,0,283161,1.049,0,0,0,0,0,2,0,1,1,0,0,1,0,13.21,7,18.2,76.3,1,43.6,0,0.0,27.19,0,1,0,0,0,0,0,1,0,9.5129,9.7139,0.1285,9.8209,46.58,2736.0,Standard
HO-2024057,TX-Hail,0.13,37,3,62,3,0,999,0,471216,0.943,0,0,0,0,0,0,0,1,0,0,0,1,0,1.13,1,28.5,23.9,0,6.9,0,0.0,4.08,0,0,1,0,0,0,0,0,0,10.275,10.2191,0.0382,10.3215,55.41,3551.0,Standard
HO-2024058,CA-Wildfire,0.22,18,0,24,1,0,999,0,333162,1.027,0,1,0,0,0,0,0,1,0,0,1,1,0,5.3,3,44.7,64.9,1,32.5,0,0.0,17.86,1,1,0,0,0,0,0,0,0,9.1575,9.3559,0.043,9.4225,39.55,2223.0,Standard
HO-2024059,FL-Flood,0.28,14,1,25,2,0,999,0,520454,0.966,0,1,0,1,0,0,0,0,0,0,0,0,0,0.96,1,49.3,26.0,0,20.6,0,0.0,8.22,0,0,0,0,0,0,0,0,0,9.2154,9.5246,0.0265,9.5321,41.48,2354.0,Standard
HO-2024060,CO-Mixed,0.07,12,2,13,1,0,999,0,266551,0.95,0,1,0,0,0,1,-1,0,0,0,0,1,1,6.09,4,40.8,38.3,0,10.4,0,0.0,32.56,1,0,0,0,0,0,0,0,0,8.8121,9.1286,0.053,9.2701,36.86,2054.0,Standard
HO-2024061,FL-Flood,0.28,32,1,44,2,0,999,0,501206,0.928,0,0,0,0,0,0,0,0,1,0,0,1,0,4.19,3,39.8,33.3,0,8.1,0,0.0,1.94,0,0,1,0,0,0,0,0,0,9.9287,9.9618,0.0253,10.0252,50.18,3043.0,Standard
HO-2024062,GA-SE,-0.18,10,1,23,2,0,999,0,218013,0.894,0,0,0,0,0,1,0,0,1,0,0,1,1,0.88,1,43.9,31.2,0,38.7,0,0.0,4.09,1,0,0,0,0,0,0,0,0,8.6221,8.6301,0.0193,8.6752,26.37,1506.0,Preferred
HO-2024063,FL-Flood,0.28,24,3,29,0,1,4,3,466065,1.139,0,0,0,0,1,0,-2,1,0,0,0,0,0,6.22,4,4.1,17.4,0,23.5,1,1.61,5.29,0,0,0,0,0,0,0,0,0,10.0115,10.029,0.031,10.0678,50.93,3111.0,Standard
HO-2024064,FL-Flood,0.28,12,1,27,2,0,999,0,310016,0.957,0,0,1,0,0,0,0,1,1,1,0,0,0,1.08,1,19.1,13.8,0,27.9,1,12.04,19.4,0,0,0,0,0,0,0,0,0,9.1852,9.2128,0.0578,9.3481,38.24,2139.0,Standard
HO-2024065,IL-Midwest,-0.14,13,3,22,1,0,999,0,504828,0.862,0,1,0,2,0,1,-1,0,1,0,0,0,1,4.56,3,41.9,7.4,0,45.8,0,0.0,1.16,1,0,0,0,0,0,0,0,0,8.7855,9.0832,0.0098,9.0758,33.44,1856.0,Standard
HO-2024066,TX-Hail,0.13,27,3,55,2,0,999,0,120000,0.963,0,0,0,2,0,1,0,0,0,0,0,0,0,5.21,3,35.7,22.9,0,49.5,0,0.0,13.49,1,0,0,0,0,0,0,0,1,9.8763,10.147,0.1044,10.1142,51.75,3187.0,Standard
HO-2024067,WA-NW,-0.07,14,2,40,2,0,999,0,270344,0.946,0,0,0,0,0,0,0,0,0,0,0,0,0,8.56,5,33.1,62.2,1,42.9,0,0.0,8.29,0,0,1,0,0,0,0,0,0,9.095,9.2329,0.0302,9.2293,36.14,2010.0,Standard
HO-2024068,CA-Wildfire,0.22,14,2,24,0,1,33,1,543565,0.965,0,1,0,0,0,1,0,0,0,0,0,0,0,10.41,6,20.6,85.6,1,28.8,0,0.0,42.71,0,0,0,0,0,0,0,0,0,9.2584,9.7217,0.0669,9.7608,45.52,2652.0,Standard
HO-2024069,MN-North,-0.22,28,3,28,3,0,999,0,351741,1.12,0,0,1,0,0,1,0,0,0,0,0,0,0,0.7,1,49.7,21.6,0,49.9,0,0.0,4.59,0,0,0,0,0,0,0,0,0,9.2772,9.5242,0.0266,9.5467,41.74,2372.0,Standard
HO-2024070,WA-NW,-0.07,32,3,46,3,0,999,0,141823,0.932,0,0,1,0,0,0,-2,0,0,0,1,0,0,16.16,9,17.1,66.7,1,82.7,0,0.0,25.18,0,0,2,1,0,0,0,0,0,9.7478,9.9634,0.2316,10.1408,52.22,3232.0,Standard
HO-2024071,TX-Hail,0.13,23,2,38,3,1,8,3,281021,0.967,0,0,0,0,0,1,0,0,0,0,0,0,0,1.95,1,16.8,9.0,0,48.7,0,0.0,5.95,1,1,1,0,0,0,0,0,1,10.0244,10.1344,0.0896,10.3311,55.57,3569.0,Standard
HO-2024072,CA-Wildfire,0.22,12,3,21,1,0,999,0,433701,1.11,0,1,1,0,0,0,0,1,0,0,0,1,1,12.96,7,40.2,86.4,1,59.5,0,0.0,16.94,0,0,0,0,0,0,0,0,0,9.111,9.5435,0.0453,9.6162,42.97,2459.0,Standard
HO-2024073,WA-NW,-0.07,13,1,22,1,1,34,1,266472,1.082,0,0,0,0,0,0,-2,0,1,1,0,1,1,14.44,8,26.0,33.8,0,60.5,0,0.0,31.84,0,0,0,0,1,0,0,0,0,8.9145,8.955,0.167,9.0386,32.78,1820.0,Standard
HO-2024074,AZ-Desert,-0.11,18,2,20,3,0,999,0,542547,0.924,0,2,2,1,0,0,-2,1,1,1,0,1,1,8.25,5,48.7,53.2,0,18.9,1,0.5,12.87,0,0,0,0,0,0,0,0,0,8.9676,9.5986,0.0386,9.6785,44.07,2540.0,Standard
HO-2024075,AZ-Desert,-0.11,20,3,30,3,1,17,2,531914,1.155,1,2,0,0,0,1,-1,0,0,1,1,0,0,16.83,9,31.9,49.9,0,24.0,0,0.0,6.68,0,0,0,0,0,0,0,0,0,9.5958,10.327,0.027,10.3301,55.56,3567.0,Standard
HO-2024076,WA-NW,-0.07,9,3,19,2,0,999,0,473480,1.147,0,0,0,0,0,1,0,0,0,0,0,0,1,10.26,6,31.5,68.5,1,59.2,1,7.53,13.43,0,0,1,0,0,0,0,0,0,8.7617,8.9473,0.0532,9.0179,32.41,1801.0,Standard
HO-2024077,CA-Wildfire,0.22,24,2,39,0,0,999,0,524317,1.137,0,1,0,0,0,0,0,1,1,0,0,0,0,8.72,5,39.2,57.0,1,40.1,0,0.0,44.49,0,1,0,1,0,0,0,1,0,9.5565,9.7419,0.3118,10.0428,50.49,3071.0,Standard
HO-2024078,FL-Flood,0.28,18,3,23,3,0,999,0,307874,1.062,0,1,2,1,0,2,-2,1,0,0,0,0,1,5.47,3,41.9,20.0,0,40.1,1,0.5,6.18,0,0,0,0,0,0,0,0,0,9.4461,9.9587,0.026,9.9135,48.21,2871.0,Standard
HO-2024079,CA-Wildfire,0.22,2,3,31,2,0,999,0,588197,0.996,0,1,1,0,0,0,-1,0,0,0,0,0,0,9.39,5,15.7,84.0,1,32.8,0,0.0,20.3,0,1,0,0,0,0,0,1,0,9.0039,9.4456,0.1233,9.496,40.85,2310.0,Standard
HO-2024080,GA-SE,-0.18,9,3,17,3,0,999,0,530588,0.87,0,1,1,0,0,0,-2,1,1,0,1,0,1,5.96,3,44.0,17.0,0,47.8,0,0.0,13.94,0,0,0,0,0,0,0,0,0,8.6677,8.7294,0.0339,8.7165,27.1,1539.0,Preferred
HO-2024081,NY-NE,-0.03,13,3,13,0,0,999,0,361957,0.826,0,1,0,0,0,0,0,1,0,0,0,0,1,6.87,4,54.3,17.0,0,16.8,0,0.0,0.11,0,0,0,0,0,0,0,0,0,8.7419,8.9229,0.0033,8.9472,31.17,1736.0,Standard
HO-2024082,FL-Flood,0.28,17,3,44,2,0,999,0,152296,1.008,0,1,0,2,0,1,-2,1,0,0,1,0,0,3.93,2,22.9,9.2,0,49.6,0,0.0,0.0,0,0,0,0,0,0,0,0,0,9.6251,9.8177,0.0003,9.7711,45.7,2666.0,Standard
HO-2024083,CA-Wildfire,0.22,35,3,40,2,0,999,0,120000,1.022,0,0,0,0,0,0,-2,1,0,0,1,1,0,10.08,6,23.9,77.5,1,23.2,0,0.0,36.71,0,0,0,1,0,0,0,0,0,10.0034,9.9107,0.2471,10.1794,52.9,3297.0,Standard
HO-2024084,FL-Flood,0.28,20,1,37,3,0,999,0,518553,0.983,0,0,0,0,0,0,0,1,1,1,0,0,0,5.95,3,31.0,18.7,0,5.3,1,3.96,5.47,0,0,0,0,0,0,0,0,0,9.5667,9.5291,0.0336,9.5471,41.75,2372.0,Standard
HO-2024085,FL-Flood,0.28,10,2,34,2,0,999,0,154451,1.004,0,0,0,1,0,1,0,1,1,0,0,1,0,1.32,1,21.7,26.7,0,11.2,1,24.87,6.49,1,0,0,0,0,0,0,0,0,9.2661,9.2679,0.0465,9.2564,36.62,2039.0,Standard
HO-2024086,AZ-Desert,-0.11,19,1,31,3,0,999,0,251017,1.211,1,1,2,0,0,0,0,0,0,0,0,0,0,15.63,8,30.3,36.4,0,8.5,0,0.0,10.08,0,0,0,0,0,0,0,0,0,9.1718,9.9154,0.0307,10.0372,50.39,3062.0,Standard
HO-2024087,NY-NE,-0.03,14,3,15,2,1,8,3,446791,1.248,1,0,0,0,0,0,0,0,0,0,1,1,1,4.74,3,51.5,7.6,0,32.1,0,0.0,12.69,0,0,0,0,0,0,0,0,0,9.4455,9.4693,0.0321,9.499,40.9,2314.0,Standard
HO-2024088,GA-SE,-0.18,20,3,47,2,0,999,0,198033,0.865,0,0,1,0,0,2,0,0,0,1,1,0,0,3.46,2,39.1,28.0,0,58.9,0,0.0,10.54,0,0,1,0,0,0,0,0,0,9.2796,9.6496,0.0311,9.7483,45.3,2634.0,Standard
HO-2024089,IL-Midwest,-0.14,23,2,41,2,1,35,1,720806,1.06,0,0,1,0,0,0,0,1,1,0,0,0,0,5.18,3,54.4,27.6,0,33.7,0,0.0,12.65,1,0,0,0,0,0,0,0,1,9.4371,9.4909,0.1004,9.6355,43.31,2484.0,Standard
HO-2024090,CA-Wildfire,0.22,28,2,55,1,0,999,0,413242,1.027,0,1,0,0,0,1,0,1,0,0,0,0,0,11.59,6,19.1,67.6,1,28.0,0,0.0,30.25,0,1,1,1,0,0,0,1,0,9.8995,10.2675,0.3063,10.6038,60.38,4113.0,Rated
